GeneID,Symbol,Gene Name / Type,log2FC,pvalue
105374004,LOC105374004,uncharacterized LOC105374004,0,NA
105374007,LOC105374007,uncharacterized LOC105374007,0,NA
105374005,LOC105374005,uncharacterized LOC105374005,-0.0037389999999999993,0.6114219201527824
105374006,NA,NA,0,NA
1295,COL8A1,collagen type VIII alpha 1 chain,-0.003151000000000001,0.9550630056477287
101929357,HP09053,uncharacterized LOC101929357,0.15050000000000008,0.548470240113937
84319,CMSS1,cms1 ribosomal small subunit homolog,1.1700000000000017,0.34481700859794595
11259,FILIP1L,filamin A interacting protein 1 like,-0.0049000000000000155,0.9436632320169044
112268455,NA,NA,-0.004895,0.8711295863760704
100500859,MIR3921,microRNA 3921,0,NA
105374010,LOC105374010,uncharacterized LOC105374010,-0.001680000000000001,0.9210509652704411
105374009,LOC105374009,uncharacterized LOC105374009,-0.009581,0.025700656886604837
644444,TMEM30CP,"transmembrane protein 30C, pseudogene",0,NA
55773,TBC1D23,TBC1 domain family member 23,2.509999999999998,0.6837307160738846
56954,NIT2,nitrilase family member 2,0.6899999999999977,0.5124318330731947
9868,TOMM70,translocase of outer mitochondrial membrane 70,-0.3199999999999932,0.9833547404526828
348801,LNP1,leukemia NUP98 fusion partner 1,-1.6319999999999997,0.07201527570806261
55076,TMEM45A,transmembrane protein 45A,-0.6825000000000001,0.42348958187904656
84873,ADGRG7,adhesion G protein-coupled receptor G7,0,NA
10342,TFG,trafficking from ER to golgi regulator,4.449999999999989,0.7563374628648403
25890,ABI3BP,ABI family member 3 binding protein,0.034145,0.2375605072197441
50939,IMPG2,interphotoreceptor matrix proteoglycan 2,-1.600000000000039e-4,0.9945239406846599
57337,SENP7,SUMO specific peptidase 7,-0.30799999999999983,0.7449720479084769
131909,ARB2BP,"ARB2 family member B, pseudogene",-0.022240000000000003,0.025748441458399673
54931,TRMT10C,"tRNA methyltransferase 10C, mitochondrial RNase P subunit",9.335000000000008,0.5293017154813118
57092,PCNP,PEST proteolytic signal containing nuclear protein,-32.75,0.5369044011127633
27107,ZBTB11,zinc finger and BTB domain containing 11,-1.129999999999999,0.4263421519887822
100009676,ZBTB11-AS1,ZBTB11 antisense RNA 1,-0.11150000000000038,0.8569011864278984
6152,RPL24,ribosomal protein L24,-243,0.2524968313626195
105374013,NA,NA,0.16100000000000003,0.5953356831729957
285359,PDCL3P4,PDCL3 pseudogene 4,0.34750000000000014,0.6604750141453318
79598,CEP97,centrosomal protein 97,0.38050000000000006,0.3886360355579703
91775,NXPE3,neurexophilin and PC-esterase domain family member 3,3.1850000000000005,0.20560919480827405
64332,NFKBIZ,NFKB inhibitor zeta,4.0425,0.06803004243168959
152225,RDUR,RIG-I dependent antiviral response regulator RNA,0.02065,0.49999999999999956
101929411,LOC101929411,uncharacterized LOC101929411,0,NA
107986105,LOC107986105,uncharacterized LOC107986105,0,NA
131368,ZPLD1,zona pellucida like domain containing 1,0.014375,0.17298110317054274
105374016,LOC105374016,uncharacterized LOC105374016,0,NA
107986106,LOC107986106,uncharacterized LOC107986106,0,NA
105374017,LOC105374017,uncharacterized LOC105374017,0,NA
105374018,LOC105374018,uncharacterized LOC105374018,0.02109,0.49999999999999956
100616336,MIR548AB,microRNA 548ab,0,NA
105374019,NA,NA,-0.04932,0.49999999999999956
105374020,LOC105374020,uncharacterized LOC105374020,-0.0033550000000000003,0.7802682887974399
105374021,LOC105374021,uncharacterized LOC105374021,-0.131175,0.06569374021967071
107986107,NA,NA,-0.02789,0.49999999999999956
107986108,LOC107986108,uncharacterized LOC107986108,-0.00564,0.49999999999999956
105374023,LOC105374023,uncharacterized LOC105374023,0,NA
214,ALCAM,activated leukocyte cell adhesion molecule,-1.9249999999999972,0.8832441812468852
868,CBLB,Cbl proto-oncogene B,-0.559000000000001,0.1950994110548959
107986109,NA,NA,-0.003939999999999999,0.9396396885616727
105374024,LOC105374024,uncharacterized LOC105374024,0.0020169999999999997,0.8021297798476725
105374026,LOC105374026,uncharacterized LOC105374026,0,NA
