GeneID,Symbol,Gene Name / Type
375775,PNPLA7,"patatin like domain 7, lysophospholipase"
64975,MRPL41,mitochondrial ribosomal protein L41
92715,DPH7,diphthamide biosynthesis 7
116225,ZMYND19,zinc finger MYND-type containing 19
92714,ARRDC1,arrestin domain containing 1
85026,ARRDC1-AS1,ARRDC1 antisense RNA 1
79813,EHMT1,euchromatic histone lysine methyltransferase 1
651337,LOC651337,uncharacterized LOC651337
693187,MIR602,microRNA 602
100133077,CACNA1B-AS2,CACNA1B antisense RNA 2
774,CACNA1B,calcium voltage-gated channel subunit alpha1 B
105376331,CACNA1B-AS1,CACNA1B antisense RNA 1
101928786,LOC101928786,uncharacterized LOC101928786
643224,TUBBP5,tubulin beta pseudogene 5
101928932,LOC101928932,uncharacterized LOC101928932
107987145,NA,NA
100132403,FAM157B,family with sequence similarity 157 member B
112267861,NA,NA
105376333,LOC105376333,uncharacterized LOC105376333
105376332,LOC105376332,uncharacterized LOC105376332
105379525,LOC105379525,uncharacterized LOC105379525
102724727,LOC102724727,uncharacterized LOC102724727
107987370,LOC107987370,uncharacterized LOC107987370
107987372,LOC107987372,uncharacterized LOC107987372
102724813,LOC102724813,protein FRG1B
102723376,LOC102723376,uncharacterized LOC102723376
347688,TUBB8,tubulin beta 8 class VIII
10771,ZMYND11,zinc finger MYND-type containing 11
107984190,LOC107984190,uncharacterized LOC107984190
107984191,LOC107984191,uncharacterized LOC107984191
22982,DIP2C,disco interacting protein 2 homolog C
105376340,NA,NA
101930421,DIP2C-AS2,DIP2C antisense RNA 2
100847086,MIR5699,microRNA 5699
414235,DIP2C-AS1,DIP2C antisense RNA 1
23185,LARP4B,La ribonucleoprotein 4B
101927762,LARP4B-DT,LARP4B divergent transcript
107984285,NA,NA
105376341,NA,NA
23560,GTPBP4,GTP binding protein 4
91734,IDI2,isopentenyl-diphosphate delta isomerase 2
55853,IDI2-AS1,IDI2 antisense RNA 1
3422,IDI1,isopentenyl-diphosphate delta isomerase 1
22884,WDR37,WD repeat domain 37
105376344,LOC105376344,uncharacterized LOC105376344
