GeneID,GSM2794663,GSM2794664,GSM2794665,GSM2794666,GSM2794667,GSM2794668,GSM2794669,GSM2794670
100131117,0,0,0,0,0,0,0.03542,0
101929754,0,0,0,0,0,0,0,0
100616166,0,0,0,0,0,0,0,0
104413890,0,0,0,0,0,0,0,0
100874131,0,0,0,0,0,0,0,0
101926886,0,0,0,0,0,0,0,0
105374051,0,0,0,0,0,0,0,0
2596,0.02751,0.05965,0.0442,0.03927,0.02108,0.01189,0,0
4045,0.006001,0,0,0,0.0046,0.002595,0,0
105374053,0,0,0,0,0,0,0,0
109623450,0,0,0,0,0,0,0,0
107986116,0,0,0,0,0,0,0,0
105374052,0,0,0,0,0,0,0,0
101926903,0,0,0,0,0,0,0,0
100861506,0,0,0,0,0,0,0,0
285194,0,0,0,0,0,0,0,0
100616485,0,0,0,0,0,0,0,0
100506724,0,0,0,0,0,0,0,0
105374054,0,0,0,0,0,0,0,0
105374056,0,0,0,0,0,0,0,0
105374057,0,0,0,0,0,0,0,0
107986022,0,0,0,0,0,0,0,0
101926953,0,0,0,0,0,0,0,0
105374058,0,0,0,0,0,0,0,0
105374060,0,0,0,0,0,0,0,0
101926968,0,0,0,0,0,0,0,0
107983969,0,0,0,0,0,0,0,0
105374059,0,0,0,0,0,0,0,0
152404,0.04289,0.01162,0.04594,0.01531,0.01644,0.01854,0.01333,0.0473
100506765,0,0,0,0,0,0,0,0
152405,0,0,0,0,0,0,0,0
7348,0,0,0,0,0,0,0,0
8702,46.05,42.23,53.2,49.39,36.55,43.04,45.89,45.31
100874201,11.43,10.83,14.08,10.54,7.729,8.564,9.515,8.605
57514,3.97,3.666,4.883,3.711,5.287,5.257,6.128,5.952
100874246,0.157,0.7659,0.7567,0.4482,0.2406,0.4072,0.3904,1.731
55254,28.79,25.52,38.31,39.53,18.19,19.76,20.63,17.03
56983,10.04,9.542,12.78,12.17,8.359,10.05,10.5,8.392
51300,78.82,77.01,79.01,73.12,77.8,77.15,76.52,65.42
941,0,0,0.01917,0,0,0.03095,0,0
107986118,0,0,0,0,0,0,0,0
141,1.606,1.454,2.304,2.217,1.811,1.757,2.295,2.46
51365,0,0,0.05305,0.03535,0,0.06423,0.03079,0.03641
105374062,0,0,0,0,0,0,0,0
64091,1.154,1.279,1.264,1.83,1.533,1.397,1.467,1.659
